CNPJ_CIA;DENOM_SOCIAL;DENOM_COMERC;DT_REG;DT_CONST;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT;CD_CVM;SETOR_ATIV;TP_MERC;CATEG_REG;DT_INI_CATEG;SIT_EMISSOR;DT_INI_SIT_EMISSOR;CONTROLE_ACIONARIO;TP_ENDER;LOGRADOURO;COMPL;BAIRRO;MUN;UF;PAIS;CEP;DDD_TEL;TEL;DDD_FAX;FAX;EMAIL;TP_RESP;RESP;DT_INI_RESP;LOGRADOURO_RESP;COMPL_RESP;BAIRRO_RESP;MUN_RESP;UF_RESP;PAIS_RESP;CEP_RESP;DDD_TEL_RESP;TEL_RESP;DDD_FAX_RESP;FAX_RESP;EMAIL_RESP;CNPJ_AUDITOR;AUDITOR
43.776.517/0001-80;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;SABESP;1994-06-27;1973-09-06;;;ATIVO;1994-06-27;14443;Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1994-06-27;ESTATAL;SEDE;Rua Costa Carvalho, nº 300;Diretoria F;Pinheiros;SÃO PAULO;SP;BRASIL;5429900;11;33888110;11;38130254;dri@sabesp.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;DANIEL SZLAK;2024-10-01;Rua Costa Carvalho, 300;Diretoria F;Pinheiros;SÃO PAULO;SP;;5429900;11;33888110;;;dri@sabesp.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
35.522.178/0001-87;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;CIA SECURITIZADORA DE CRED. FIN. CARTÕES CONSIGNADOS II;2021-07-29;2019-09-16;;;ATIVO;2021-07-29;26107;Securitização de Recebíveis;BALCÃO ORGANIZADO;Categoria B;2021-07-29;FASE OPERACIONAL;2021-05-10;PRIVADO;SEDE;Rua Cardeal Arcoverde, nº 2365;11º andar;Pinheiros;SÃO PAULO;SP;BRASIL;5407003;11;33851800;;;dri_consignados2@vert-capital.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Victoria de Sá;2021-02-26;Rua Cardeal Arcoverde 2365;7 andar;Pinheiros;SÃO PAULO;SP;;5407003;11;33851800;;;dri_consignados2@vert-capital.com;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;CSN;1943-02-26;1941-04-09;;;ATIVO;1943-02-26;4030;Metalurgia e Siderurgia;BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;1943-02-26;PRIVADO;SEDE;Av. Brigadeiro Faria Lima, 3400;19º andar;Itaim Bibi;SÃO PAULO;SP;BRASIL;4538132;11;30497238;11;30497212;invrel@csn.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ANTONIO MARCO CAMPOS RABELLO;2024-03-18;Avenida Brigadeiro Faria Lima, 3400;20º andar;Itaim Bibi;SÃO PAULO;SP;;4538132;11;30497238;;;invrel@csn.com.br;07.326.840/0001-98;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;CSN;1943-02-26;1941-04-09;;;ATIVO;1943-02-26;4030;Metalurgia e Siderurgia;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1943-02-26;PRIVADO;SEDE;Av. Brigadeiro Faria Lima, 3400;19º andar;Itaim Bibi;SÃO PAULO;SP;BRASIL;4538132;11;30497238;11;30497212;invrel@csn.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ANTONIO MARCO CAMPOS RABELLO;2024-03-18;Avenida Brigadeiro Faria Lima, 3400;20º andar;Itaim Bibi;SÃO PAULO;SP;;4538132;11;30497238;;;invrel@csn.com.br;07.326.840/0001-98;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
76.484.013/0001-45;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;SANEPAR;2000-03-10;1963-01-23;;;ATIVO;2000-03-10;18627;Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2000-03-10;ESTATAL;SEDE;Rua Engenheiros Rebouças, 1376;;Rebouças;CURITIBA;PR;BRASIL;80215900;41;33303929;;;ri@sanepar.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;ABEL DEMETRIO;2019-01-31;ENGENHEIROS REBOUÇAS 1376;;REBOUÇAS;CURITIBA;PR;;80215900;41;33303929;;;ri@sanepar.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
33.938.119/0001-69;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;CEG;1997-11-17;1969-05-28;;;ATIVO;1997-11-17;16616;Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1997-11-17;PRIVADO;SEDE;Av. das Américas, n° 4200, Bloco 6;Salas 101 a 601;Barra da Tijuca;RIO DE JANEIRO;RJ;BRASIL;22640907;021;31156565;21;31156565;;DIRETOR DE RELAÇÕES COM INVESTIDORES;MARCIO GOMES VARGAS;2020-03-26;Av. das Américas, n° 4200, Bloco 6;Salas 101 a 601;Barra da Tijuca;RIO DE JANEIRO;RJ;;22640907;21;31156565;;;vargas@naturgy.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
01.027.058/0001-91;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO;2009-06-25;1995-11-23;;;ATIVO;2009-06-25;21733;Intermediação Financeira;BOLSA;Categoria B;2024-08-26;FASE OPERACIONAL;2009-06-25;PRIVADO;SEDE;Alameda Xingu;512;Alphaville;BARUERI;SP;BRASIL;6455030;11;21847600;11;21847799;ri@cielo.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Filipe Augusto dos Santos Oliveira;2022-05-23;Alameda Xingu, 512;;Alphaville;BARUERI;SP;;6455030;11;21847814;;;ri@cielo.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
07.043.628/0001-13;CLARO TELECOM PARTICIPAÇÕES S.A.;CLARO TELECOM PARTICIPAÇÕES S.A.;2014-12-05;2004-09-27;;;ATIVO;2014-12-05;23531;Emp. Adm. Part. - Telecomunicações;;Categoria A;2014-12-05;FASE OPERACIONAL;2014-08-07;PRIVADO;SEDE;Rua Henri Dunant, nº 780;Torre B - 2º andar;Santo Amaro;SÃO PAULO;SP;BRASIL;4709110;21;21216474;21;21216388;presidencia@claro.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Roberto Catalão Cardoso;2015-06-01;Avenida Presidente Vargas, nº 1012;11º andar;Centro;RIO DE JANEIRO;RJ;;20071910;11;43132019;;;invest@claro.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
43.514.079/0001-81;CLI SUL S.A.;CLI SUL S.A.;2023-07-19;2021-09-14;;;ATIVO;2023-07-19;27243;Serviços Transporte e Logística;;Categoria B;2023-05-10;FASE OPERACIONAL;2023-05-10;PRIVADO;SEDE;Avenida das Nações Unidas, nº 10989;Conjunto 142;Brooklin Paulista;SÃO PAULO;SP;BRASIL;4578900;98;33135150;;;ri@cli-br.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Sr. Carlos Gabriel Pradela Exposito Motta;2023-05-10;Avenida das Nações Unidas, nº 10989;Conjunto 142;Brooklin Paulista;SÃO PAULO;SP;;4578900;98;33135150;;;ri@cli-br.com;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
12.420.164/0001-57;CM HOSPITALAR S.A;CM HOSPITALAR S.A;2021-04-14;2010-08-09;;;ATIVO;2021-04-14;25682;Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2021-04-14;FASE OPERACIONAL;2021-02-03;PRIVADO;SEDE;RUA MIRYAN STRAMBI, Nº 915;;RECREIO ANHANGUERA;RIBEIRÃO PRETO;SP;;14097052;11;21028081;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;FLÁVIA CARVALHO;2022-05-02;Av. Alfredo Egídio de Souza Aranha, 100;3o andar;Vila Cruzeiro;SÃO PAULO;SP;;4726170;11;21028000;;;ri@viveo.com.br;49.928.567/0001-11;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
61.080.313/0001-91;COBRASMA SA;COBRASMA S/A;1979-12-12;1944-09-19;;;ATIVO;1979-12-12;4448;Máquinas, Equipamentos, Veículos e Peças;;Categoria A;2010-01-01;FASE OPERACIONAL;1979-12-12;PRIVADO;SEDE;Rua Professor Luis Eulalio de Bueno Vidigal 131;;Centro;OSASCO;SP;BRASIL;6093085;11;36821700;11;46238425;marcia.bvrb@terra.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Luis Eulalio de Bueno Vidigal Filho;2008-04-28;Rua Professor Luis Eulalio de Bueno Vidigal 131;;Centro;;SP;;6093085;11;50709333;;;marcia.bvrb@terra.com.br;54.933.015/0001-31;IRMÃOS CAMPOS & CERBONCINI AUDITORES ASSOCIADOS
02.800.026/0001-40;COGNA EDUCAÇÃO S.A.;KROTON EDUCACIONAL S.A.;1998-12-01;1998-08-26;;;ATIVO;1998-12-01;17973;Emp. Adm. Part. - Educação;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2002-12-31;PRIVADO;SEDE;Rua dos Guajajaras, nº 591;4º andar, sala 1;Lourdes;BELO HORIZONTE;MG;BRASIL;30180101;31;21260700;31;32974983;dri@cogna.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Frederico da Cunha Villa;2023-04-13;Avenida Paulista, 901;2 andar;Bela Vista;SÃO PAULO;SP;;1310100;11;31337309;;;dri@cogna.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
25.369.840/0001-57;COMERC ENERGIA S.A.;COMERC ENERGIA S.A.;2021-10-08;2016-07-15;;;ATIVO;2021-10-08;26280;Energia Elétrica;;Categoria A;2021-10-08;FASE OPERACIONAL;2021-08-16;PRIVADO;SEDE;Rua Surubim, 550;2 andar;Cidade Monções;SÃO PAULO;SP;BRASIL;4571050;11;35083688;;;ri@comerc.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;BRUNO DE ARAUJO SOARES;2025-01-16;Avenida Juscelino Kubitschek, 1.909 - 21° andar;sala 05, torre norte;Vila Nova Conceição;SÃO PAULO;;;4543907;11;35083688;;;ri@comerc.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
60.730.348/0001-66;COMPANHIA  MELHORAMENTOS DE SÃO PAULO;MELHORAMENTOS;1977-07-20;1967-11-30;;;ATIVO;1977-07-20;3654;Papel e Celulose;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1977-07-20;PRIVADO;SEDE;Rua Tito;479;Vila Romana;SÃO PAULO;SP;BRASIL;5051000;11;38740662;11;38740504;ri@melhoramentos.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Rafael Gibini;2020-05-15;Rua Tito;479;Vila Romana;SÃO PAULO;SP;;5051000;11;38740501;;;ri@melhoramentos.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
61.409.892/0001-73;COMPANHIA BRASILEIRA DE ALUMINIO;;2021-07-13;1941-12-12;;;ATIVO;2021-07-13;25984;Extração Mineral;BOLSA;Categoria A;2021-07-13;FASE OPERACIONAL;2021-05-17;PRIVADO;SEDE;Avenida Engenheiro Luiz Carlos Berrini, nº 105;14 parte, cj. 141;Cidade Monções;SÃO PAULO;SP;BRASIL;4571900;11;55086934;;;ir@cba.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Camila Abel Correia da Silva;2025-11-26;Avenida Engenheiro Luiz Carlos Berrini, nº 105, 14ª, parte;conjunto 141;Cidade Monções;SÃO PAULO;SP;;4571900;11;55086934;;;ir@cba.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
47.508.411/0001-56;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;PÃO DE AÇÚCAR;1995-04-04;1981-11-11;;;ATIVO;1995-04-04;14826;Comércio (Atacado e Varejo);BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;1995-04-04;PRIVADO;SEDE;Avenida Brigadeiro Luís Antônio, 3142;-;Jardim Paulista;SÃO PAULO;SP;BRASIL;1402901;11;38860024;11;38842677;gpa.ri@gpabr.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Pedro Vieira Lima de Albuquerque;2026-03-04;Avenida Brigadeiro Luis Antônio, 3142;;Jardim Paulista;SÃO PAULO;SP;;1402000;11;38860024;;;gpa.ri@gpabr.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
47.508.411/0001-56;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;PÃO DE AÇÚCAR;1995-04-04;1981-11-11;;;ATIVO;1995-04-04;14826;Comércio (Atacado e Varejo);BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1995-04-04;PRIVADO;SEDE;Avenida Brigadeiro Luís Antônio, 3142;-;Jardim Paulista;SÃO PAULO;SP;BRASIL;1402901;11;38860024;11;38842677;gpa.ri@gpabr.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Pedro Vieira Lima de Albuquerque;2026-03-04;Avenida Brigadeiro Luis Antônio, 3142;;Jardim Paulista;SÃO PAULO;SP;;1402000;11;38860024;;;gpa.ri@gpabr.com;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
06.267.630/0001-03;COMPANHIA BRASILEIRA DE EDUCAÇÃO E SISTEMA DE ENSINO S.A.;COMPANHIA BRASILEIRA DE EDUCAÇÃO E SISTEMA DE ENSINO S.A.;2026-02-20;2004-05-13;;;ATIVO;2026-02-20;28002;Educação;BALCÃO ORGANIZADO;Categoria B;2025-12-16;FASE OPERACIONAL;2025-12-16;PRIVADO;SEDE;Avenida Engenheiro Santana Júnior, nº 3.333;;Cocó;FORTALEZA;CE;BRASIL;60192205;85;30338274;;;ir@arcoeducacao.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Arieh Levin;2025-12-15;Rua Augusta, nº 2.840, 16º andar, conjunto 161;;Cerqueira César;SÃO PAULO;SP;;1412100;85;30338274;;;ir@arcoeducacao.com.br;61.366.936/0001-25;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
08.560.444/0001-93;COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR;CELGPAR;2008-03-14;2006-12-04;;;ATIVO;2008-03-14;21393;Emp. Adm. Part. - Energia Elétrica;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2008-03-14;ESTATAL HOLDING;SEDE;Rua 88-A, Quadra F-37, Lote 13, nº 116, CEP 74085-020;;Setor Sul;GOIÂNIA;GO;BRASIL;74805080;62;34145910;;;relacoescominvestidores@celgpar.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Bruno Batista Silva;2026-04-01;Rua T 51 978 Apartamento 2101 Torre A;Resid La Musique;Setor Bueno;GOIÂNIA;;;74215210;62;948095434;;;relacoescominvestidores@celgpar.com;03.061.922/0001-05;CONVICTA AUDITORES INDEPENDENTES S/S LTDA.
07.040.108/0001-57;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ  - CAGECE;CAGECE;2000-01-19;1971-07-21;;;ATIVO;2000-01-19;18546;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;2000-01-19;ESTATAL;SEDE;AV. LAURO VIEIRA CHAVES;1030;VILA UNIAO;FORTALEZA;CE;BRASIL;60422901;85;31011809;85;31011822;ri@cagece.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;DARIO SIDRIM PERINI;2015-03-05;Av. Lauro Vieira Chaves, 1030;;Vila União;FORTALEZA;CE;;60422901;85;31337455;;;ri@cagece.com.br;13.098.174/0001-80;RUSSELL BEDFORD GM AUDITORES INDEPENDENTES S/S
17.245.234/0001-00;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA;1969-08-11;1883-04-02;;;ATIVO;1969-08-11;3077;Têxtil e Vestuário;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1969-08-11;PRIVADO;SEDE;Rua Paraíba, 330;9º Andar;Funcionários;BELO HORIZONTE;MG;BRASIL;30130917;31;32355224;31;32355033;ri@cedro.ind.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Fábio Mascarenhas Alves;2023-01-01;Rua Paraíba, 330;9º Andar;Funcionários;BELO HORIZONTE;MG;;30130917;31;32355222;;;fabio@cedro.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
22.261.473/0001-85;COMPANHIA DE GÁS DE MINAS GERAIS - GASMIG;;2020-10-06;1986-07-15;;;ATIVO;2020-10-06;25178;Saneamento, Serv. Água e Gás;;Categoria B;2020-10-06;FASE OPERACIONAL;2020-03-30;ESTATAL;SEDE;Avenida Barbacena, 1200;7o andar;Santo Agostinho;BELO HORIZONTE;MG;BRASIL;30190131;31;32651000;031;32912015;ri@gasmig.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;RONALDE XAVIER MOREIRA JUNIOR;2024-11-26;Avenida Barbacena, 1200;7º andar;Santo Agostinho;BELO HORIZONTE;;;30190131;31;32651000;;;ri@gasmig.com.br;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
61.856.571/0001-17;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;1996-07-03;1968-11-11;;;ATIVO;1996-07-03;15636;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;BALCÃO NÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;1996-07-03;PRIVADO;SEDE;Avenida Brigadeiro Faria Lima, 3732;27º andar;Itaim Bibi;SÃO PAULO;SP;BRASIL;4538132;11;45045065;011;45045257;investidores@comgas.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Thiago da Fonseca Rodrigues;2026-03-23;Avenida Brigadeiro Faria Lima, 3732;27º andar;Itaim Bibi;SÃO PAULO;;;4538132;11;45045065;;;investidores@comgas.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
61.856.571/0001-17;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;1996-07-03;1968-11-11;;;ATIVO;1996-07-03;15636;Emp. Adm. Part. - Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1996-07-03;PRIVADO;SEDE;Avenida Brigadeiro Faria Lima, 3732;27º andar;Itaim Bibi;SÃO PAULO;SP;BRASIL;4538132;11;45045065;011;45045257;investidores@comgas.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Thiago da Fonseca Rodrigues;2026-03-23;Avenida Brigadeiro Faria Lima, 3732;27º andar;Itaim Bibi;SÃO PAULO;;;4538132;11;45045065;;;investidores@comgas.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;COPASA MG;2003-09-17;1963-07-05;;;ATIVO;2003-09-17;19445;Saneamento, Serv. Água e Gás;BALCÃO ORGANIZADO;Categoria A;2010-01-01;FASE OPERACIONAL;2003-09-17;ESTATAL;SEDE;Rua Mar de Espanha;525;Bairro Santo Antonio;BELO HORIZONTE;MG;BRASIL;30330900;31;32502015;31;32501604;ri@copasa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Adriano Rudek de Moura;2025-02-24;Rua Mar de Espanha;525;Santo Antônio;BELO HORIZONTE;MG;;30330900;31;32502015;;;ri@copasa.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
17.281.106/0001-03;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;COPASA MG;2003-09-17;1963-07-05;;;ATIVO;2003-09-17;19445;Saneamento, Serv. Água e Gás;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;2003-09-17;ESTATAL;SEDE;Rua Mar de Espanha;525;Bairro Santo Antonio;BELO HORIZONTE;MG;BRASIL;30330900;31;32502015;31;32501604;ri@copasa.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Adriano Rudek de Moura;2025-02-24;Rua Mar de Espanha;525;Santo Antônio;BELO HORIZONTE;MG;;30330900;31;32502015;;;ri@copasa.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
62.070.362/0001-06;COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ;COMPANHIA DO METROPOLITANO DE SÃO PAULO - METRÔ;2023-01-06;1968-04-24;;;ATIVO;2023-01-06;27065;Serviços Transporte e Logística;BALCÃO ORGANIZADO;Categoria B;2022-08-26;FASE OPERACIONAL;2022-08-26;ESTATAL;SEDE;Rua Boa Vista, 175;Bloco B;Centro;SÃO PAULO;SP;BRASIL;1014920;11;32912850;;;metrosp.docdigital@metrosp.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Paulo Menezes Figueiredo;2022-08-12;Rua Joaquim Távora, 974;131;Vila Mariana;SÃO PAULO;SP;;4015012;11;32912882;;;rimetrosp@metrosp.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA;1994-07-04;1968-12-16;;;ATIVO;1994-07-04;14451;Energia Elétrica;BOLSA;Categoria A;2010-01-01;FASE OPERACIONAL;1994-07-04;ESTATAL;SEDE;SGAN Quadra 601, Bloco H, Salas 2010 a 2023;Edifício ÍON;Asa Norte;BRASÍLIA;DF;BRASIL;70830010;61;34659300;61;34652007;ri@ceb.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;IVAN CARLOS FERREIRA LIMA;2026-05-11;SGAN 601 MÓDULO H SALAS 2010 A 2023;;ASA NORTE;BRASÍLIA;DF;;70830010;61;37741022;;;ri@ceb.com.br;54.276.936/0001-79;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA
28.925.264/0001-75;COMPANHIA ENERGÉTICA JAGUARA;COMPANHIA ENERGÉTICA JAGUARA;2018-04-27;2017-10-09;;;ATIVO;2018-04-27;24422;Energia Elétrica;BALCÃO ORGANIZADO;Categoria B;2018-04-27;FASE OPERACIONAL;2018-02-15;PRIVADO;SEDE;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;FLORIANÓPOLIS;SC;BRASIL;88025255;48;32217246;48;32217253;ri.brenergia@engie.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Romary dos Anjos Silva;2023-10-25;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;FLORIANÓPOLIS;;;88025255;48;32217246;;;ri.brenergia@engie.com;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
28.942.127/0001-49;COMPANHIA ENERGÉTICA MIRANDA;COMPANHIA ENERGÉTICA MIRANDA;2018-04-27;2017-10-09;;;ATIVO;2018-04-27;24430;Energia Elétrica;BALCÃO ORGANIZADO;Categoria B;2018-04-27;FASE OPERACIONAL;2018-02-19;PRIVADO;SEDE;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;FLORIANÓPOLIS;SC;BRASIL;88025255;48;32217246;48;32217253;ri.brenergia@engie.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Romary dos Anjos Silva;2023-10-25;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;FLORIANÓPOLIS;;;88025255;48;32217246;;;ri.brenergia@engie.com;57.755.217/0001-29;KPMG AUDITORES INDEPENDENTES LTDA.
19.527.586/0001-75;COMPANHIA ENERGÉTICA SINOP S.A.;COMPANHIA ENERGÉTICA SINOP S.A.;2017-06-22;2013-10-28;;;ATIVO;2017-06-22;24155;Energia Elétrica;BALCÃO ORGANIZADO;Categoria B;2017-06-22;FASE OPERACIONAL;2017-06-22;PRIVADO;SEDE;Avenida dos Flamboyants, 684;;Jardim Botânico;SINOP;MT;BRASIL;78556024;66;35209500;66;35209500;ri@sinopenergia.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;Sergio Carvalho Aguiar;2023-08-22;Avenida dos Flamboyants, 684;;Jardim Botânico;SINOP;MT;;78556024;66;35209500;;;ri@sinopenergia.com.br;61.562.112/0001-20;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
39.881.421/0001-04;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;CIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;2023-03-30;2020-10-13;;;ATIVO;2023-03-30;27154;Energia Elétrica;;Categoria B;2024-01-25;FASE OPERACIONAL;2022-11-25;PRIVADO;SEDE;AVENIDA CARLOS GOMES, Nº 222;SALA A;BOA VISTA;PORTO ALEGRE;RS;;90480000;11;30497238;;;;DIRETOR DE RELAÇÕES COM INVESTIDORES;Pedro Barros Mercadante Oliva;2025-08-08;Avenida Brigadeiro Faria Lima, 3400;19/20 andar;Itaim Bibi;SÃO PAULO;;;4538132;11;30497585;;;invrel@csn.com.br;07.326.840/0001-98;FORVIS MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.
19.526.748/0001-50;COMPANHIA INDUSTRIAL CATAGUASES;COMPANHIA INDUSTRIAL CATAGUASES;1973-12-19;1936-11-12;;;ATIVO;1973-12-19;3395;Têxtil e Vestuário;;Categoria A;2010-01-01;FASE OPERACIONAL;1973-12-19;PRIVADO;SEDE;Praça José Inácio Peixoto;28;Vila Tereza;CATAGUASES;MG;BRASIL;36772010;32;34222211;32;34211382;philiper@cataguases.com.br;DIRETOR DE RELAÇÕES COM INVESTIDORES;José Júlio Lamas Vidueiros;2022-11-10;Praça José Inácio Peixoto, 28;;Vila Tereza;CATAGUASES;MG;;36772010;32;34222211;;;julio@cataguases.com.br;10.830.108/0001-65;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.
21.254.073/0001-80;COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES;INDL ITAUNENSE;1969-04-02;1911-05-01;;;ATIVO;2017-11-23;3450;Emp. Adm. Part. - Energia Elétrica;;Categoria A;2010-01-01;FASE OPERACIONAL;2014-05-03;PRIVADO;SEDE;Rua João Cerqueira Lima;133;Centro;ITAÚNA;MG;BRASIL;35680063;37;32421242;31;32819827;companhiaitaunense@gmail.com;DIRETOR DE RELAÇÕES COM INVESTIDORES;Tonny Salera Primeiro;2022-12-01;Rua João Cerqueira Lima, 133;;centro;ITAÚNA;MG;;35680063;37;32421242;;;companhiaitaunense@gmail.com;16.549.480/0001-84;RSM BRASIL AUDITORES INDEPENDENTES LTDA.
